Text,Image_Base64
‘ꠅꠄ।,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABeklEQVR4nO3VsYrCMBjA8URva1dXhw6+QDvZva/gYHEoFMFVBJ9DXDpVKHSVjp07CaW+QpUKTiIEFcGaG8pV8Hr3wWE8he8/pUmGHyE0lHNOXqnafwPuQxDUG4KOx+N0Og3DMM/zlwClaUopdRxH1/X9fi9cxL/Ksowxxn9uMpkMBoNfNjykj1IWBIFt291ud7PZlJOU0gJNCLler8vlUlGU4XD4jBPSNC0MQ8756XTyPC+KIlVVi6VyYBhGMXBdt9PpiDgh8n2q3++7rttsNlutVgm6XC6z2czzvGKGMaZpmghQxaWez+eSJPV6vVrtttput/M8N02z+JRlmYt5cypAvu8HQaDruiRJ5eRisbAsS4QABsmynKapqqqMsfV6TQip1+tJktxtE/RbqgBtt9vVanU4HEaj0fl8JoSMx+Pdbne3rdFoxHH8cBAVdBX+3Bu+ZU8OQVAIgkIQFIKgEASFICgEQSEICkFQCIJCEBSCoBAEhSAoBEF9AobR6ti9y8c2AAAAAElFTkSuQmCC
ꠔꠣꠁꠘꠔꠣꠁꠘꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB10lEQVR4nO2WIajCQBjHb06zyaQgmkWDVYNgUTHbTFoFi8EyxOQstoGgQcWiBpNJMKprliEIFsGhQ09ERC7cC4Nt+MI935P3Xvh+6fi2/8eP23fHOEop+k/Y/lrgGRBiAUIsQIiFHSEky3KpVLJeSIQQjuPsdjshxGaz8TxvPKKUchxnbXG9XjVN8/l834tjjE+nk9/vN994IhwOPy0opaFQ6PF4KIpiVM7nc7FYzGQy1Wr1XfFer2d+ssPhMJvNMMaapn3eyfv93m63Y7GYsQf5fH673eZyubfEKaX1et3r9ZpCgiAkk8lCoeB0Oj93TKVS2WzW2Nhms1mr1fb7/VvigiDE4/FEIhGJREwhSZKCwWCn03E4HE/txuOx2+0WRbHf7+uVyWSCEEqn02+JVyqV6XQaCASQ9ZTJsqyXeJ5frVb6QlGU4/G4XC5Ho1G32x0MBoQQhJDH45EkqVwu8zy/2Wxut9sP46a+Pk2qqjYajcvlQikdDoeLxUJfzOdzY+LW63U0Gm21WtYRxhiLorjb7X4SJ4QYFe6l3w9VVV0ul/UYv8RX4q8J/QL/7qYGIRYgxAKEWIAQCxBiAUIsQIgFCLEAIRYgxAKEWIAQCxBiAUIsQIjFBwuA0Sx5JhOYAAAAAElFTkSuQmCC
ꠛꠤꠛꠦꠇ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABzklEQVR4nO2Wu4rCQBSGJ8FCbARFiGghRkVtLEYsBGsLWyvtLERBsFC00MansLPJC+hzmFIbG/GCo0GwEBSGxLNFQJcYdooNe4H5upx/SL45cxgiAAD6S4i/LWCFC7H4J0KXy6VYLLZaLfNxsVj8nBHYMRwO1+u13+9/PB4AUCqVBoOB7UrHsemQqqrlcjkSiYRCIcMwEEKz2YxSOplMfqBBguk1Ho81TTNLlFJd11VVnc/n2Wy2UCiIoogQ2m63Pp9vOp1KkuRyuSwvcrvdiqIEAoHvGgGAruuEEELIarXa7/eZTOZ8PgMAxtg2whib28AY3263fr8fj8edOrLXDCmKUq1WZVlOp9PP79lGz3o4HG42m7vd7llxUigYDB4Oh263G4vFLEKWCGN8v99Ho1EqlTIM4/PK7/Ma6lqtls/nZVn2er2WY7VEoijW6/VKpeLxeMzxcpJ3x2QyqWkaAORyueVy+R4RQszrIBqNnk4nAEgkEpvNxuEOPWk0GsfjESHU6/Wu1+t7JEmSIAgIoXa7bd4LnU6HUupIgwTgvx9fw4VYcCEWXIgFF2LBhVhwIRZciAUXYsGFWHAhFlyIBRdiwYVYcCEWXIjFnxP6AKpTwyWMGdxZAAAAAElFTkSuQmCC
ꠀꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABGUlEQVR4nO3WoW6EQBCAYegWhUHhyAokEoHfZ+ABeAsMwSAJDiwKyTPgLoEgUbwAQSJQhDAV1xB617sx5XpifscsCV9mDTIASO/Ux38DbiMQFoGwCIT1KUnSMAye5y3Lcn88TZOiKKqq7hNZltM0tSzrLBE8KMsyTdOOk6IodF1/9P5f9fuVJUnCOTdNc0fHccw5NwzjrMU82VAURVVVAYBt2wAQhqEQouu6fXJqP0DbtgVBUNf19fH+8y8AfV/ZPM/jOPq+77qu4zjXIWNsXdfjOhljl8vlFVeW57kQou/7I7Ysy6ZpbiZt2566IRno9+N5BMIiEBaBsAiERSAsAmERCItAWATCIhAWgbAIhEUgLAJhEQjr7UBfx21E1sJEHhoAAAAASUVORK5CYII=
ꠀꠇꠟ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABsUlEQVR4nO3Wr6vCUBTA8bvxRBAVy8IFUVC0iEVBrA4s+h+YTCabiMkiVoMwg8VqGfsTTAZFEKuYRNhYFkQc7Lwwn/j8weGxwTOcbxrnXsYH70UmAAD7pMT/BjxGICwCYREI64sxput6vV6/XC7Py5ZlMcZ8Pt/zkiiKjDHbtm8TQRAURclkMq5E8KbRaBSJRJznfD5/ezidTp1OJ5VK3W/WNE2SpHev+lOvj2wwGMTj8WQy+TA3TbPVajWbzXA4fBtOp9NgMBiLxVz9MD+9APX7/VwuV61W74fn87nX64VCIUVRotGoM5zNZsVikXPu9/s90TyCAKDb7ZbL5VKp9GuTKDYajVqtFggEnKvjJMvyYrE4HA6SJHkFut6h4/FoGEa73d5sNrfjLBQKlmUBgGEYtm0DQCKRME0TANLp9H6/d7ZVKhVn83w+d3+HrqDJZCLL8na7vV9TVXW5XN5PhsOhrusAMB6Pd7udM8xms5qmqaq6Wq3cgwRw/fmxXq8555xzT07MA5C3fdw/NYGwCIRFICwCYREIi0BYBMIiEBaBsAiERSAsAmERCItAWATC+gZfE8DjEuuv4wAAAABJRU5ErkJggg==
ꠀꠍꠦ।,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB1klEQVR4nO2WIasqQRSAV/eJwRFEi2AwCCKY1iIYBIVN22RBsGgzWzSIRa0WwWJYg9Vi8y+IwWJxYaOiyKbZIMPKuWHB533ee49wd+97D+ZLs2fOMh9nDjPjAwDhX8L/twX+hAth/LdCu93OU4/fwGsoitLtdl9M/g6vVmi5XDLGNE3ztDqCIPgA4Hg8NhoNxtjzNGMsk8lEo1Hn83A4JBKJWCzWbrdFUfTE6LPSTSaTSCTCGKOUSpJEKaWU6rpOKb1er07ObDarVqs/sWWj0SiZTKZSqUAgQAjx+/2EkPl8XqvVCCHBYNBJU1XVMAx3C/SB0HA4zOVyiqI8BgeDgSRJ8P6eIYSA2zfPOyEA6PV6siyXSqXHeKFQqNfr4XDYMIxms/lht7ksZFnW6XTqdDqqqubzeScoiqJt24IgjMfj8/lsmmY8Hr9cLtvt9v7/7XZz2chpJU3TyuXyfr9/7K/FYrFerwFgtVrpug4A6XS61Woxxu45sixvNhsXmxo/GE3T7Pf7ztiyLNu2XVz+mV9oCafTaaVSccahUMjlDXoCP6mLxWI2m/Xa444P+Ivxa7gQBhfC4EIYXAiDC2FwIQwuhMGFMLgQBhfC4EIYXAiDC2FwIYw32xGEdHxshigAAAAASUVORK5CYII=
ꠅꠔꠣꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABg0lEQVR4nO3WIavCUBTA8XO36UAF29rwA2hbsBgt+hUG4icYK67uAwgmv4F2o8UgiBabxaqCoGIYjuHGhPuCz7nne3jKhWc4/3Q548JvO2WMcw6flPTfgNcIhEUgLAJhKQAQx3G73d7v98k0iiJJkjKZTDKJ45gxpiiK53nZbDaXyyWPGGP9fr9cLosR8UfX63UwGMxmM8Mw+M+Sycuj4XCoaRoX2nNltm3fbjfTNH3fv09Op9N0OvU873w+/36NbrdbKpV0XRfzYR49QaPRKJ/Pt1otSfoeuq7bbDYtyyoWi+k7ruvW6/VGo1Gr1cRqAFIrm0wmpmmOx+P0XqrV6puV/TkRtrJCobDZbAzD8H1/t9sBwHK5rFQqACDL8mq1uh/W63X6fWRZns/nAj/QE3Q4HLbbbRAEnU4niqLj8bhYLHq9HgA4jhOG4f1wuVzS9x3HUVVVIIhx+v14H4GwCIRFICwCYREIi0BYBMIiEBaBsAiERSAsAmERCItAWATC+jjQFxh+bl3+sq+gAAAAAElFTkSuQmCC
ꠟꠣꠉꠤ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABm0lEQVR4nO3WMYrCQBSA4ZedFUHsJMUgWGmRQkFsLEUQr2Bla+MNzA1sJeAJtAjpbO2EQEAEQQtBQRHERksh0bHIIlFx37obXZH3V0NmAl8mA4kkhIBX6uO/AZcRCOstQJvNplgsVqtV3zUAAOL+VFWdzWaRSORwOPzi9u+7G2RZ1mAwEEKkUinbtn0HfQLAer0ul8u73e60bbZtA0AgEHAcR5Ikxthpar/fh0Ihx3Gm02mhUNA0TVGUB74ywzBkWXbHmUzGHUwmk3Q6PRwOvRdPA387O9StViscDsdisQt0PB6vVCr1et3PnbjRF6jb7WazWc55MBi8XtTpdBKJxHK5fB4on8+bprlYLGRZvl6kqmo0Gs3lcs8DubXbbUVRGGO9Xg8AGGPj8RgASqVSs9ms1WoAsN1uV6uVOzsajfwXeQ9UMpk0DEPXdcuyhBC6rpumeXHoGo3GfD6/Nfv3JOH5/ej3+5xzzrn/z/3jzkCv0Ft8XB8agbAIhEUgLAJhEQiLQFgEwiIQFoGwCIRFICwCYREIi0BYLwc6Aj8LcZCSmphXAAAAAElFTkSuQmCC
ꠢꠇꠟꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB/klEQVR4nO2Wva/xUBzHT5880gUDIZp4CYkuBoN4GYwW/ofGoBsJSRM2EouEtX9BI2yMNpPZaKhJRGkYDFLvfs/QXLcXybme5d7hfKZfvudoP+23mlIAgH4Tf35a4BEihIMI4SBCOP4ihFarVTabPR6Pz8s0TV8ul+v1+pCfz2dZllmWNZlMekJRFMdxkiQZt1EUJYpiKBR6wwg+iEQi93m9XudyuXtiHDRNq1QqwWDwvrnX6zkcDvhKu912Op3wPi8qGwwGjUaj2Ww+L6mqKghCoVCwWq160u12zWaz1+s1XmGr1fL5fB6P540b88EXIU3TqtXqbrfL5/M2m824dDgc6vW6xWIRRdHtdiOEhsNhIpFgGIam6fu2Wq2WSqXS6XQymfwPG4QMlcXjcZ7nF4uFoiidTsfYVDQa5ThuOp0+lyhJ0mQyMdb98hn4Pp9Cm81GH3ie3263AOD3+xVFAYDlcnm73QAgEAioqgoALMvOZjMAyGQyABCLxUaj0cOhX4ZYPiuz2+36IMtyo9EAgFKppP+/XC4XRVEIoWKxqCeCIJxOJ4TQfD7v9/vlctlYnM7LEAsFT58fsizv9/twOPyd34/HY4ZhGIZ598RvCP0sv+5NTYRwECEcRAgHEcJBhHAQIRxECAcRwkGEcBAhHEQIBxHCQYRwECEcRAjHPzwH2xpfA8zUAAAAAElFTkSuQmCC
ꠄꠇꠎꠘꠦ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACJ0lEQVR4nO2WPehxURjA7yWLYheTYtetOzDYmMxKpMQVWYQYTJSvQZGFMphYWIViNrC4mwGLjwklEfc+7+B9ff3rPXW99RrObzrPc57z9Os559YlAYD4JkT/W+AdLITiW4WOx2OpVOp0OhzHfdKOZdl/IzSfz0mSLJfLBoNht9sJbheLxeLx+EdG8EqxWPT7/SCU6/UaiUSq1argDiQArNdrp9N5Pp8JguB5fjweK5VKhULx0342m6lUKolE8py8Xq8kSYrF4ntmv9+bzeZMJvPRhCiKui1MJtNzSFHU8XiMRqMajQYAFovFYDC4n9LpdPf1drsNBoNWqzWZTAqe0MtXxnFcrVZzOBzPyc1mEwqFAoGAXC4nCMLn8xmNRgBIp9MMwyyXy1vZ5XLxeDyz2cztdgsZzB9ehPR6Pcdxdrv9Fp5Op0QiIZPJSqWSSqW6JVmW7Xa7p9OpXq9XKpV7vlKpZLPZ1Wr1ic270HA4dLlcvzdEIoZhbDabVCoViR5l+XyeYRidTpdKpZ7PttttgiAsFsuHQo83RNP0aDS6h6vViud5AFCr1ZvNBgC0Wu1isXi7cpqmG40GAHi93nA4zPN8v993Op2Hw0HYG3oItVqtXq/3s6JQKCyXSwAol8vT6fRtt9lsTiaT58xut8vlcpfLRZgQCfj34+9gIRRYCAUWQoGFUGAhFFgIBRZCgYVQYCEUWAgFFkKBhVBgIRRYCAUWQvF1Qr8A8WqIVmQ2jPYAAAAASUVORK5CYII=
ꠀꠞꠇꠎꠘꠞ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACPUlEQVR4nO2Wv+s5cRzH776+SimZbChCkkFyRmX1B5jE4EfKImSR0ilFBsVgMRkMTBalzmIgizLpkiwnC4ooP+71Ha7uc198P+/x+xnej+l9z/f7nj3u9V6OBADiJ/Hrfwu8goVQYCEUWAjFb4IgOI4LhUK32+19+3g8yuVypVIpJvf7nSAIuVz+flihUGi1WpZlX/LH40GSpEwmk9bu93uDwSAmJEnW63WbzUbAP2g0Gmq1Wpq0222NRiOsnU6nuLhcLtls1mQyCclmsxmNRuJbDodDXB8Oh2Qy6ff7aZr+WAsAn6+sWq3q9Xqj0Sg8AkClUtHr9Vqt9uXkbrdLpVKJREKlUglJPB73eDwAUCqVotEox3HiaCORyHq9DofD39W+z4amaYZhxDHk83mv17tYLF4Gc71eC4WC1Wp9Pp/SLZ1ONxgMLpeL3W6X5vV6fbVaud3u4XBI0/THWgD4S4jn+VwuN5lMXu5FRExcLlcgEGBZVqooLLrdrk6ns1gs/X5fmvt8vtVqVSwWBaGPtV9Cp9Npu91mMpn5fC7uURR1v9+lb1IUNR6PAWC73fI8DwAGg2G32wGA2WzebDbv86YoqtPpAEAsFkun0zzPMwwTDAbP5/N77ZdQq9Xyer3L5VLa1e12p9PpSzKbzaRJrVbjOA4Ams0my7LvQr1eT7gXkePxWC6XpZ8qrSUB/358DxZCgYVQYCEUWAgFFkKBhVBgIRRYCAUWQoGFUGAhFFgIBRZCgYVQYCEUP07oD0qFgK3mjT2SAAAAAElFTkSuQmCC
