Text,Image_Base64
ꠙꠞ꠆ꠍꠦ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB3ElEQVR4nO2WvcriQBSGJyuiRZCghaAiFoLYicFOr0CwsrOwCFiYxspGsLEQAl6CVt6AWIiNhZWNgqiFhUWKgaAgyIg4SXC2kNXgws4XSL7dhXmqwxkGHt7D/HCEEPAv8eNvC3zChGj8/0Lb7dYNjzfEJsVisdVq2d31dWwnNBqNdF0fDAZupAMA4AghmqZVq1WM8e/Lfr/f6/UahoExVlWVECKKYiKRgBBGo9FQKNRsNj0ej5NGr6xEUXzVp9NJkiRrR9f19Xodi8UQQgih/X6PELrf798xsslk0u12FUWxNg+Hw2w2C4fDPM8Ph8NKpcLzvM/nczIbAMDHKbvdbu12+3q99nq9YDD4bG42G1mWx+Nxo9EAAHQ6nUwmQ9x7cF5Z5XI5SZIghB9DPJ/Pq9Xq2ZFlWVXV3W4nCEKtVsMYOz6ytxCE8PF4WNeSyaSmaR8blsvlfD5Pp9PlcnmxWDgu9B5ZJBLhOM4aXr1eNwzD2plOp4IgFAoF0zTj8Xg2m3VxZFSOx6OiKM/6crmYpul4PMTWxdjv90ul0rMOBAIOXz+/sCGUz+dTqZQbElY4wn6Mf4YJ0WBCNJgQDSZEgwnRYEI0mBANJkSDCdFgQjSYEA0mRIMJ0WBCNH4CvGUBnk8Lj58AAAAASUVORK5CYII=
⁕,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAA0UlEQVR4nO3VIQ6EMBCFYbpZgydAUFgu0LtUYevgBggSVHWvgOcYhBPANXCIrttQsslzhU3e78Z9mUla4ZyLntTrbsA1glAEoQhC/QBN0xTe8e19HtZ13fd9GIY0TcuyzPM8PMjbkBDCWtu2rTHmOI7wGg/knFNKVVXVdZ2UsmmaW0Di/JfN8zyOY5Zl27b1fV8URXiQd7IkSbTWy7LUdR3HcXhNdNnQE/qHd+jeCEIRhCIIRRCKIBRBKIJQBKEIQhGEIghFEIogFEEoglCPA30A9L4w/K0caKYAAAAASUVORK5CYII=
ꠡꠝ꠆ꠞꠣꠐ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAB+0lEQVR4nO3WP+g5YRzA8cdFIZMMMpxuMMh0bGSSHdl0I6V0JYPNIDkpxWawS9ko05kMBiklf7JYSMn0ODni8x2+v+Rnefr1u/p+h+c13d3zPPV+rqfrdACAfhPmpwM+0SASGkRCg0j0CCGMcaVSUVX1Y0xV1cVi8Xg8Xk9ut9tut+M4TlEUhmFMJtNrSBTFWCymQREA3O93jPF0Oo3H481mE2PcarWcTqeiKKfTye1293q94XBYrVZzuRwA+Hw+AAAAWZZFUfR6vZfLBTTCIIT0er3RaIxGo5lMpt1u9/t9lmVtNpvZbLZarYPBIJvNHo/HYDD4sRlRFJPJpNFofH+L/+nPGbrf7/l8nud5nU7Hsmw4HH7NOBwOgiDUarXn8/mxuFgsTiYTSZIsFovGQSaTKZVKpdNpSZL8fv/7jHK5LAgCxni9Xn8sXq1WDodDkqT9fq9xEEJou90qitJoNL5vMcaz2QwhFIlEQqFQIpHweDy73e58PjMMs1wuEUK1Ws1ut3McZzAYtApC7wfqfD7zPP99Xa/X5/N5t9sNBAKyLAOAoiilUul6vXY6nfF4DADD4bBQKIxGI61ONADo4O/fj81m43K5NNvuv/sM+nG/7ktNg0hoEAkNIqFBJDSIhAaR0CASGkRCg0hoEAkNIqFBJDSIhAaR0CCSL/cZdwIizSAvAAAAAElFTkSuQmCC
ꠡꠣ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABLUlEQVR4nO3Woc6DMBDA8ZYglhkMuqgJJOEZeIAlKF5kcnZyMwsCM8mTgCIhIUNgeIdbsywluYkt+zI+ca5M3E/R1PxzhQaJiOKXOEsHzHEQhYMoHERxhRAAcDgcHo/HbO9+v1+vV0SUUp7P5zAMbRQhojEGAJqmSdM0z3MAKIoiCAKtNSLGcYwWuUII13VXq9V2u71cLvv93vM8pZTv++v12sZIvr3fIWPMbreLokhKqZRKksR+yttnVtM0ZVlWVdVr+Tkpy0f295WN46i1Pp1OryUAtG0rhHAcp+/7BSaEiLfbLYqi1/PxeOy6DhHLsqzr2tqEJH7/fgzDsNls7M3jn3nQ4n7upuYgCgdROIjCQRQOonAQhYMoHEThIAoHUTiIwkEUDqJwEIWDKE9xIc9YEXJVPgAAAABJRU5ErkJggg==
ꠎꠣꠘꠦ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABfElEQVR4nO3VMauCUBTA8XsfjolGQyBNrk5R+SWyT9Dc2tDa7iBC4NhQS0Nhi58gaGpoEmkMGoRoa3CwwPOGosL34iDkewXnP129Cj+OihwA2Dv19d+AdATC+nBQEAQ5Oe5BlprNZr/fz3RL1rJNyPO80+k0Go1ymg5jjAMAY6zb7fq+n9o7n8+cc0EQOOeKooRheDl/PB4lSSoUCpPJRJblF4tus9put8vl8nZYrVYvi1qt9jhSy7J6vV7q5Au7g1qtVpIkSZKYptnpdMrl8k+Q4ziSJMVxnB/o/g6t1+vFYhHHseu6w+GwUqmkZun7fqlUqtfrURS9+DE9JNxWg8Gg3W6Lomjb9q+XTqdTwzA0TSsWi/mBnn72uq7P53MAaDQam80GAMbjsWEYh8MBAFRV3e/3eTyypyDXdYMgAIDZbLZarVK7tm3vdrs8QNfP/n368H/ZH0QgLAJhEQiLQFgEwiIQFoGwCIRFICwCYREIi0BYBMIiEBaBsL4B4zDXlIUAxJYAAAAASUVORK5CYII=
ꠁ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAA7ElEQVR4nO3VPYqFMBSG4dxRLC1tLWwFaxsX4B4U3IHrEQS34A5cgL0g1goiWJruTDHcXwa+8tzie5tAqoeTkNxExHxTP9qAzwhCEYQiCOUaY/Z9L8vSWvvcdd22bcMwVBDJS0mSWGunaRK93o7suq6u67IsUxjMvTdQnudFUcRxrKUxxtzk/pf1fb8sy3meVVVFUaQFcv+W4zjGcRyGYV1X3/fruvY8T0f0cafmeU7TtGkajQstIvI8skfbtgVB4DiOyoD+Aen2dS81QSiCUAShCEIRhCIIRRCKIBRBKIJQBKEIQhGEIghFEOoXCnFM8dEm0qsAAAAASUVORK5CYII=
ꠔꠣꠎ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABQElEQVR4nO3WIY6DQBSA4RnA4kuqEQyKEK5RWzQXwPUMaETPUEIQHKCmClLbpA2iNUAVCSgEYlY0Ydlhs8+UbMX71IQwyZ83GQLlnJNPIv13gAiDIBgEwSCIQgg5n8+73W76QRqGgVKqKAqldL1el2UpbKOU7vd7wzDeX8RnbNsWFvf7/XQ6jS9YljXf9S7KWNa27e12Y4w1TSNE+76fpinnPAiCx+NR1/X7BzOfkOd5qqq6rmuapjAhTdOOx2Pf96/ZjM+X8OPIHMfhvx3Z4XBYrVa6rr/mtGjQ9y3L85wxRgiRJOl6vU4X2+32+XwWRbHZbAghsiwnSbLskVVVFYZh13Wc8yiKsiybLgRxHF8ul4UmRDn+fvwNgyAYBMEgCAZBMAiCQRAMgmAQBIMgGATBIAgGQTAIgkEQDIJ8XNAXF5ZG07RhjUIAAAAASUVORK5CYII=
ꠝꠟ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABRElEQVR4nO3WMYqDQBSAYR0WRLAKWIyFlRbBM4jgCSxt5hCS2i6kCNjlDmKTFCnsBixFvIQiCIldQuxmi+xm3d3iVTEp3t/5bD6cx6AshJDeKfJqwN8QBIUgKARBfUiSdD6fGWO32236wrbttm3HcXxMZFne7XaO4zxXJIQQQgzDsFwuj8cj53y73a5WKzFpv9/rui5m6evIFotFnudRFJ1OJ9d1p+I0TTVNM03zuR/mu58d6vueMZYkyWPCOfc8j1KqKMo8ml+gzWbDGFNV9THxfb8oiqZpKKUvAAVBEIZhHMeEkK7rLpfLfZ5lmW3bhJCyLOcQ/V+r6/W6Xq/Hcbw/WpZ1OByyLKuqaoallgX0+1HXtWEYs50aDJq5t7upEQSFICgEQSEICkFQCIJCEBSCoBAEhSAoBEEhCApBUAiCQhDUJ2ZmUVvWNFJ4AAAAAElFTkSuQmCC
,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAASElEQVR4nO3OoQHAIBAAsdL9d3485iSIZIKsmfle8t8OnISKUBEqQkWoCBWhIlSEilARKkJFqAgVoSJUhIpQESpCRagIFaGyAXGwA118GEzeAAAAAElFTkSuQmCC
ꠅ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAA4ElEQVR4nO3UMQ5FQBSF4fHMIijEIuzBFmhswipsQE1nYi9WIKKXSaYShYhXEE9eczqjOH851Ze5udfZ9128qY9twH8EoQhCEYSSQgitdZZly7Jcr0EQVFUlpXwe5FyH0RjTtm0YhnVdK6WepxydI1vXtSzLeZ6TJLFFOTqHorVumkYp1XXdtm0WQecP+b6f53lRFGmaWtSI+5aN4+i6bhRF0zQZY2yBfnvU9/0wDJ7nxXFsSyPuW/aSXncYCUIRhCIIRRCKIBRBKIJQBKEIQhGEIghFEIogFEEoglCvA30BMiZDS3MhxEAAAAAASUVORK5CYII=
ꠇꠝꠤꠡꠘ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAACh0lEQVR4nO2WP0gyYRjA79yUJMW2RCNUFHE4KgcXJxcRXBpEkDbJwaUQwVHCQEpERBxEF0Gd3SKkrVxCRHAwpELjyD/LeaAc59NwcJ/ZB2/HV3wF729673nvee7H+9zDHQkAxE9C9r8F1sFCKH6/0Gg0crvd4XD4O2wIgiBAIrFY7Pn5eWtra7lcSs39DNKEms1mq9UCAJvNxnHcdwiRAEDT9NHR0WKx+Hh+MpmMJEme54VLnud5nh8Oh9PplKIoi8WiVCo/pozH436/vxrc2Ngol8sqlUpCy/b29sQFy7KRSMRoNALAZDKxWCz1er3RaCSTydPTU+EejuMYhrm/vz88PMzn8wzDFAoFvV7PsqxYM5lMnpyciJU/w1+EtFptKBQaDAZi5PHx0WAw1Gq129tbUQgAOI7T6/U3NzdOp7NSqVxdXa0+O5PJbG5uLhYLSULvpmw+n8fjcaVSmc1mt7e3xThN04FA4PLycu10OY6LRqMURZEkqdPpXC6XuNVutzUazf7+Psuy6DatdlxckSR5fHzs9/sVCoVM9k40kUgEAgG5XL6WLJfLg8FgKBQ6Pz93OByrW9VqdWdnx2q1qtVqSUJ/WjYYDIRJNhgMo9EIAMxm83A4BIBisWi326+vr5vNps/nYxjm4OCg2+0CwMPDg9fr9fl8QhGTySSMYalU8ng8r6+vALC7u0vTtOR3SCSVSr28vABALpfr9XqrWyzLnp2dzefzWq12d3cnBGezGUVRwjqdTnc6nbWCFxcXT09PnxQi4St+P3q9ntFo/Pc6BEF8jdAX8vs/rt8NFkKBhVBgIRRYCAUWQoGFUGAhFFgIBRZCgYVQYCEUWAgFFkKBhVD8OKE3oMw+38LWME8AAAAASUVORK5CYII=
ꠇꠞꠂꠘ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABxUlEQVR4nO3Wv8sBcRzA8fvSlUR+jQzilLoRi9nIYrRYKRP5B4zCIFkZbkDxJxitSrKYrs51MZhOjvg8w1N8nx89X/WcHk993tP1ve/l1ed7XQgAcK+U5a8Bn0MQq38L2u/38/n8crk8VcNxHAcPtFwuw+FwKpVqNpuP7P9ND01IFMV+v2+1WqfTqSzLTx0QAQBN0/L5vGEYX28fDgee53me5zjudDqdz2dCiCAIqqrS2xwOhyRJbrfbBNFtVrFY7Hah63q1Wo1EIvQwJ5OJ1+ulV+r1erlcvj1oSt+AAoFAsVhUFIX+pdFoNB6P6ZV2u+1yuQzDMBf04R06Ho+1Ws3pdHY6Hb/f/74oSVKpVLLZbNls9rZzsVj4fL54PK7rugnHRHUHEUIKhUIul7Pb7RbLfT2ZTFYqlUwmQz82GAyCwaAoih6Px1zQ/cgURblerwAgCMJutwOAaDS62WzoeSYSidVqBQC9Xi+dTm+3WwAIhUKappl1ZN98h1qtlqqqANDtdtfrNX1rOBzOZrNP+xuNhizLZoEI4N+Pn0MQKwSxQhArBLFCECsEsUIQKwSxQhArBLFCECsEsUIQKwSxQhCrlwO9AWpt0YAJ9F8uAAAAAElFTkSuQmCC
꠨,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAAAgElEQVR4nO3VsQ0DIRQE0X9uhyJIKQUyOqMDyqENHFknXeAJuWBeBaNN9tp7x5t8Tgc8GUQMIgaRO2it1XsfYxysiYjYP6WUOWdKaR91L5Rzbq3VWg+uExHX9jr+M4gYRAwiBhGDiEHEIGIQMYgYRAwiBhGDiEHEIGIQMYi8LugLBSOZopskNSEAAAAASUVORK5CYII=
ꠔꠣꠘ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABNklEQVR4nO3WMYuDMBTA8UQcBIVW3JycpNTRfot+GwUnd0Gc3N0EW/pBrLi5dO6QoVPI4CAOuaFwDRbuLeddh/efHhLhRxJEKqUkn5T234BlCIJCEBSCoHRCSN/3SZKoH6R5nimluq5TSl3XZYyp71iWVdf1drtdRSTfCsNwMTzL8zyKosXDX+8F4py3bSuE8DzvHVSW5WazmaZpbZD+vVVxHF8ul+PxaJrmYheHYXAc53A4jOO4yjEpvS51VVW73a5pGsMwFotOp5PneUEQ2Lb9d6Cu6/b7PSFE07Tb7aYOvu9nWZamKSGEc/54PFYUPU+OMVaWpRBCSnk+n6/XqzqoFUVxv9/Xu0NU4u/HzyEICkFQCIJCEBSCoBAEhSAoBEEhCApBUAiCQhAUgqAQBIUgqI8DfQFHrMkU3APfbQAAAABJRU5ErkJggg==
ꠛꠃ,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAIAAADYYG7QAAABSUlEQVR4nO3WL6+CYBTHcby78yVQDfwxENyATKBZoPAGCG5mX4PzDVBIbFitWug0quNPcjOQZDi1iI/nhrs94YZ7kmg43/Tslz476RkAgPBJfb0b8DcCYREIi0BY34IgMMaCIGjblq+MsaZpGGP3+304HPLddd3pdPpaEQB0XVfXdV3XeZ4fj8fJZHI6nQAgy7Kqqjabja7rruter1d4fQJ/rddrz/MURTEM43fxff98PquqWhSFaZr7/b4/UNd1kiRdLpfZbMZBkiQ9Ho8kSRaLhSiKYRj2BwKA+Xwuy3IURRw0Go34VQ6Hg2VZvYJ44/G4bVsAWK1WmqalaXq73Xa7XRzH7wEtl8uyLAHg+XwGQWDbtuM42+22Bw0ADIC+H/9HICwCYREIi0BYBMIiEBaBsAiERSAsAmERCItAWATCIhAWgbA+DvQDE9IuPEVrlRsAAAAASUVORK5CYII=
